name,lat,long,community_amenity_type_id
Kimumu Primary School,0.5559264,35.3028032,2
P.G.C. Secondary School,0.5459822,35.3084761,3
University Of Eldoret High School,0.5733314,35.3104753,3
University Of Eldoret Primary School,0.5798525,35.309446,2
The Greenwood Girls High School,0.6065112,35.3012609,3
New Shiner School,0.5862197,35.3082678,2
G K Prisons Primary School,0.5280041,35.2867904,2
Ripsobon Chemist,0.5290374,35.2551484,7
Oasis Chemist & General Medics,0.5301954,35.2555725,7
Petochem Pharmacy,0.5298417,35.2500388,7
Eldoret Evangelical Church,0.5200839,35.257659,5
Seventh - Day Adventist Church,0.5287293,35.2629955,5
Victorious Miracle Centre Church Of Jesus Christ,0.5297421,35.2563544,5
Uasin Gishu Pentecostal Assemblies Of God Church,0.5309789,35.2505842,5
Akurinu Church,0.5289988,35.2525661,5
St Jude Thaddeus Catholic Church,0.5347687,35.2485207,5
Eldoret Valley Baptist Church,0.5254052,35.2519888,5
Grace of life church,0.5286183,35.2525038,5
Evangelical Bible Church Programme,0.52897,35.2521875,5
Destiny Calvary Church,0.5308626,35.2496103,5
Redeemed Gospel Church,0.5227124,35.2520746,5
United Pentecostal Church,0.5231969,35.2508346,5
International Vision Center,0.5201751,35.2551001,5
Majengo Catholic Church,0.5330227,35.2588576,5
Salvation Army Eldoret Central Corps,0.5288022,35.2638186,5
Eldoret P. A. G Church,0.5300187,35.2626948,5
Jamia Mosque Eldoret,0.5192417,35.2666658,6
Sikh Union Club,0.519923,35.2634954,6
Eldoret Union School,0.5243474,35.2608769,2
Rhema Academy Primary School,0.5286318,35.2584422,2
Umoja Secondary School,0.5309427,35.2579232,3
Gulab Lochab Academy,0.5199284,35.263415,3
Kidiwa Nursery School,0.5306755,35.2622569,1
64 Secondary School,0.5179327,35.2587177,3
Mohan Academy Primary School,0.5165194,35.2567349,2
Arya Nursery & Primary Schools,0.5185578,35.2668321,2
Uasin Gishu Primary School,0.5174943,35.2659507,2
Uasin Gishu Secondary School,0.5164332,35.2663218,3
Rabbi Primary School,0.5461163,35.2373855,2
Dream Rock Primary School,0.5431606,35.2433977,2
Tamarillo Junior Primary School,0.5415702,35.2432367,2
Bridge International Academy - Road Block,0.5525788,35.2414088,2
Philadelphia Primary School,0.5521215,35.2417199,2
Pefa Church Mti Moja.,0.5427288,35.2393995,5
K.A.G Kahoya Worship Tower Eldoret,0.5414411,35.2388349,5
Global Empowerment Church Centre,0.5458108,35.2347469,5
Blessed Church Ministries And School,0.5476142,35.2376754,5
Fountain Baptist Church,0.5420902,35.2456658,5
Voice To The Nation Worship Center,0.5451695,35.2482203,5
Gospel Spring Centre,0.5462095,35.2441459,5
Praise Chapel,0.5639699,35.2386203,5
Christ Evengelistic Church,0.5532641,35.2431371,5
Kenya Assemblies of God Church Tairi Mbili,0.5548951,35.2456366,5
Gospel Tabernacle Church,0.5468159,35.2428095,5
Kahoya Medicenter Clinic,0.5425089,35.2377972,7
Starlight Medical Clinic,0.5423641,35.2399376,7
Gynocare Women's And Fistula Hospital,0.5393283,35.2364558,7
ACK Church Huruma,0.5336017,35.2411795,5
P.C.E.A Huruma Church,0.5340672,35.2443352,5
Christ is The Answer Ministries (CITAM) Eldoret,0.5085777,35.2657442,5
The Church of Jesus Christ of Latter-Day Saints,0.5300539,35.2826773,5
Divine Encounter Fellowship Church,0.5348998,35.2451733,5
Jesus Winner Ministry,0.5339638,35.2435103,5
Eldoret Valley Baptist Church,0.5254052,35.2519888,5
International Vision Center,0.5201751,35.2551001,5
Huruma District Hospital,0.529421,35.2469512,7
Huruma Baptist Primary School,0.535223,35.2420834,2
Bridge International Academy - Road Block,0.5525788,35.2414088,2
Kahoya Champions Primary School,0.5380472,35.236951,2
Hillside Schools,0.5038714,35.31027,3
