name,lat,long,land_use_id,business_type_id
Say Cakes,0.5153731,35.2737669,5,14
Kerio Cafe,0.5158703,35.2751255,5,14
Lincon Hotel,0.5157175,35.2738756,5,14
Chicken Zone,0.5157385,35.2736918,5,14
Delicious Delights,0.5147988,35.2732392,5,14
Zaika Lounge,0.5142708,35.2699515,5,14
Fish & Chicken,0.5175466,35.2711357,5,14
Msafiri Cafe,0.5184186,35.2722052,5,14
Tropical Fast Food Hotel,0.5201365,35.2769628,5,14
Wagon Wheel Hotel,0.5209667,35.2747815,5,14
Wagon Cafeteria & Games Complex,0.5221148,35.2754519,5,14
The African Pot,0.5241875,35.2757692,5,14
ELDORIA RESTAURANT,0.5235353,35.2712681,5,14
Ukulima Cafe & Butchery,0.5207598,35.2728993,5,14
Pejos Cafe,0.5211795,35.2721598,5,14
Tealand Cafe,0.5214008,35.2712658,5,14
Gotab Sanik Cafe,0.521948,35.2692917,5,14
Glory Cafe,0.5215698,35.2706891,5,14
Tekeltich Cafe,0.5216208,35.2704263,5,14
Towfiq Cafe Eldoret,0.5218202,35.2688964,5,14
Bobby's Cafe,0.5201992,35.267103,5,14
Biretwo Cafe,0.5198439,35.2683073,5,14
Fish Point,0.5199149,35.2680941,5,14
Turtle Cafe,0.5192645,35.2683435,5,14
Meat Point Hotel,0.5187053,35.2669179,5,14
Mubaraka Cafe,0.5189433,35.2680096,5,14
Joy Food Kiosk,0.5180183,35.2685886,5,14
Mursik Dairy Kiosk,0.5179721,35.2684498,5,14
Milele Hotel,0.5143277,35.2617546,5,14
Heron Cafe,0.5225139,35.2652496,5,14
Ice Pub,0.5155545,35.2739486,5,11
Nyanya's Pub,0.5174288,35.2769256,5,11
Volcano Pub,0.515484,35.2769466,5,11
Jabez Pub & Restaurant,0.5166022,35.2772617,5,11
Tamarind Cool Pub,0.5157596,35.2774865,5,11
Triple Mingo Pub,0.517493,35.2759704,5,11
New Ours Pub,0.5157416,35.2752247,5,11
Cravers Pub,0.5169995,35.2763452,5,11
Malang Keg Pub,0.5153715,35.2783871,5,11
The Well Irish Pub & Restaurant,0.516892,35.274014,5,11
